fitness_history,best_fitness,execution_time,nfe
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,136.91560411453247,259
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,138.17214941978455,259
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,134.46308374404907,261
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,125.07376670837402,259
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,115.89538788795471,259
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,87.27103924751282,261
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,87.69718623161316,261
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,87.78424501419067,259
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,87.67608904838562,257
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,89.05813956260681,260
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,88.0259656906128,260
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,88.75828909873962,260
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,89.53076100349426,261
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,91.37482166290283,260
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,90.7166678905487,261
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,100.76518034934998,261
"[np.float64(18.6), np.float64(21.604520310886933), np.float64(21.607265190555918)]",21.607265190555918,96.89337372779846,260
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,99.8255136013031,257
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,100.73297357559204,259
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,93.07493591308594,258
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,95.11702847480774,260
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,93.62079739570618,261
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,91.45272040367126,259
"[np.float64(18.6), np.float64(18.625232271619186), np.float64(18.6)]",18.625232271619186,92.21206641197205,260
"[np.float64(18.6), np.float64(18.6), np.float64(18.979704450427835)]",18.979704450427835,91.68718338012695,261
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,92.81785988807678,261
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,155.06430315971375,259
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,390.9805312156677,259
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,88.42236185073853,259
"[np.float64(18.6), np.float64(18.6), np.float64(18.6)]",18.6,89.90834355354309,261
